Core Attribute,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/ontology/parent,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/birthDate,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/resource/Giovanni_Francesco_Guidi_di_Bagno,http://dbpedia.org/resource/Rome,http://dbpedia.org/resource/Colonna_family,http://dbpedia.org/resource/1641,1578-10-04 ,http://dbpedia.org/resource/Florence http://dbpedia.org/resource/Grand_Duchy_of_Tuscany 
http://dbpedia.org/resource/Giovanni_Doria,http://dbpedia.org/resource/Palermo,http://dbpedia.org/resource/Giovanni_Andrea_Doria,http://dbpedia.org/resource/1642,nan,nan
http://dbpedia.org/resource/George_Murray_(bishop_of_Rochester),http://dbpedia.org/resource/Chester_Square,http://dbpedia.org/resource/Lord_George_Murray_(bishop),http://dbpedia.org/resource/1860,1784-01-12 ,http://dbpedia.org/resource/Farnham http://dbpedia.org/resource/Surrey 
http://dbpedia.org/resource/Geoffrey_(archbishop_of_York),http://dbpedia.org/resource/Normandy,http://dbpedia.org/resource/Henry_II_of_England,http://dbpedia.org/resource/12-12-12,nan,nan
http://dbpedia.org/resource/Ferdinand_III_of_Castile,http://dbpedia.org/resource/Crown_of_Castile,http://dbpedia.org/resource/Alfonso_IX_of_León,http://dbpedia.org/resource/1252,nan,nan
http://dbpedia.org/resource/Erik_Benzelius_the_younger,http://dbpedia.org/resource/Linköping,http://dbpedia.org/resource/Erik_Benzelius_the_Elder,http://dbpedia.org/resource/1743,1675-01-27 ,http://dbpedia.org/resource/Uppsala http://dbpedia.org/resource/Sweden 
http://dbpedia.org/resource/Edward_the_Confessor,http://dbpedia.org/resource/London,http://dbpedia.org/resource/Æthelred_the_Unready,http://dbpedia.org/resource/1066,nan,nan
http://dbpedia.org/resource/Edward_William_Grinfield,http://dbpedia.org/resource/Brighton,http://dbpedia.org/resource/Thomas_Grinfield,http://dbpedia.org/resource/1864,nan,nan
http://dbpedia.org/resource/Edward_Francis_Wilson,http://dbpedia.org/resource/Saltspring_Island,http://dbpedia.org/resource/Daniel_Wilson_(bishop),http://dbpedia.org/resource/1915,1844-12-07 ,http://dbpedia.org/resource/England http://dbpedia.org/resource/Islington 
http://dbpedia.org/resource/Donald_Foster_Hudson,http://dbpedia.org/resource/England,http://dbpedia.org/resource/Father,http://dbpedia.org/resource/2003,1916-04-29 ,"http://dbpedia.org/resource/Halifax,_West_Yorkshire http://dbpedia.org/resource/England http://dbpedia.org/resource/West_Riding_of_Yorkshire "
